Название,Жанр,Режиссер,Страна,Год,IMDb
Захват в Северном море,"боевик, приключения, триллер",Эндрю В. МакЛаглен,Великобритания,1979,ID 0081809
Захват дивизиона буров британцами,"немое кино, документальный фильм, короткометражный фильм, военный фильм",Джеймс Уайт,США,1900,"ID 0288468, ID 0288467"
"Захват (фильм, 1995)",боевик,Трой Кук,США,1995,ID 0114606
Захват Беверли-Хиллз,боевик,Сидни Фьюри,США,1991,ID 0105526
"Захват (фильм, 2004)",документальный,Ави Льюис,"Канада, Аргентина",2004,ID 0426596
Зашанхаенный,комедия,Чарли Чаплин,США,1915,ID 0006032
"Азбука любви (фильм, 1919)",мелодрама,Леонс Перре,США,1919,ID 0009858
"Захват (фильм, 1982)","детектив, приключения","Мукадас Махмудов, Владимир Плотников","СССР, ;, Таджикская ССР",1982,ID 0252110
"Захар Беркут (фильм, 2019)","исторический, экшен, приключения, драма, экранизация","Джон Винн, Ахтем Сеитаблаев","США, Украина",2019,ID 7439064
"Затянувшаяся расплата (фильм, 1973)","боевик, мелодрама",Пракаш Мехра,Индия,"1973, 11 мая, 1973",ID 0070947
"Захар Беркут (фильм, 1971)",исторический,Леонид Осыка,СССР,1971,ID 0175346
Затяжной прыжок (фильм),боевик,Гай Манос,США,2000,ID 0211792
Затянувшаяся музыка (фильм),драма,Роджер Споттисвуд,США,"11 сентября, 1993",ID 0106273
Затура: Космическое приключение,"приключения, фантастика",Джон Фавро,США,2005,ID 0406375
Азартные игры (фильм),"триллер, драма",Джон Франкенхаймер,США,2000,ID 0184858
Азартная игра (фильм),драма,Уильям Фридкин,США,1994,ID 0109305
Азарт удачи,комедия,Билли Уайлдер,США,1966,ID 0060424
Азарт любви,"музыкальный фильм, драматический фильм, боевик",Мансур Хан,Индия,2000,ID 0151150
"Азамат (фильм, 1939)",драма,,СССР,1939,
Адский остров,фильм нуар,Фил Карлсон,США,1955,ID 0048160
Адский переплёт,"фильм нуар, триллер",Уильям Дж. Хоул-младший,США,1957,ID 0050495
Адский небоскрёб,"комедия, пародия",Чарльз Немес,Франция,2001,ID 0259060
"Адский котёл (фильм, 1903)",фильм ужасов,Жорж Мельес,Франция,1903,ID 0135180
Адский ветряк,боевик,"Лу Цзюньгу, Тони Вон",Гонконг,1979,ID 0079483
Адский бункер: Чёрное солнце,"боевик, фильм ужасов",Стив Баркер,Великобритания,2012,ID 1418712
Адский бункер: Восстание спецназа,"боевик, фильм ужасов",Киран Паркер,Великобритания,2013,ID 2241403
Адский бункер,"боевик, фильм ужасов",Стив Баркер,Великобритания,2008,ID 0892899
Адская ночь,"ужасы, триллер",Том Де Саймон,США,1981,ID 0082511
Адская поездка,"боевик, триллер, приключения",Ларри Бишоп,США,2008,ID 0411475
Адская месть-2. Кровавые крылья,фильм ужасов,Джефф Барр,США,1994,ID 0110913
"Адская кухня (фильм, 2019)","криминальная, драма, боевик",Андреа Берлофф,США,2019,ID 5822564
"Адская кухня (фильм, 1998)","криминал, драма",Тони Чинчирипини,США,1998,ID 0129136
"Адская кухня (фильм, 1978)",драма,Сильвестр Сталлоне,США,1978,ID 0078056
Адская жёнушка,комедия,"Джеймс Лейн, Дональд Джонс",США,1993,ID 0107153
Адрес неизвестен,комедия,Жан-Поль ле Шануа,Франция,1951,ID 0042923
Адреналин: Страх погони,"боевик, фантастика",Альберт Пьюн,США,1996,ID 0115471
Адрес Ленина,,Владимир Петров,СССР,1929,ID 0128992
Адреналин 2: Высокое напряжение,"боевик, криминал, триллер, чёрная комедия, трэш","Марк Невелдайн, Брайан Тейлор",США,2009,ID 1121931
"Адреналин (фильм, 2006)","боевик, триллер, криминал, чёрная комедия","Марк Невелдайн, Брайан Тейлор",США,2006,ID 0479884
"Адреналин (фильм, 1990)",фильм ужасов,"Анита Ассаль, Бартоломи Бомпар",Франция,1990,ID 0098986
Адмиралъ,"исторический, военный, приключенческий, мелодрама, драма",Андрей Кравчук,"Россия, Франция, Китай",2008,ID 1101026
Адмирал Ушаков (фильм),историко-биографический,Михаил Ромм,СССР,1953,ID 0045473
Адмирал Нахимов (фильм),историко-биографический,Всеволод Пудовкин,СССР,1946,ID 0039132
"Адмирал (фильм, 2015)","байопик, военный фильм, исторический фильм, драма",Роэль Рейн,Нидерланды,2015,ID 2544766
Административная власть,драма,Роберт Уайз,США,1954,ID 0046963
Аджами (фильм),драма,"Скандар Копти, Ярон Шани","Израиль, Германия",2009,ID 1077262
Адела ещё не ужинала,"кинокомедия, детектив",Олдржих Липский,Чехословакия,1977,ID 0075633
Адемай на пограничном посту,комедия,Поль Коллин,Франция,1950,ID 0041092
Адвокат дьявола (фильм),"ужасы, триллер, драма",Тейлор Хэкфорд,США,17 октября 1997,ID 0118971
Женщина дня,мелодрама триллер,"Александр Баранов, Бахытжан Килибаев",СССР,1989,ID 0310391
Женщина его мечты,"фильм нуар, мелодрама, комедия","Джон Фэрроу, Ричард Флейшер, в титрах не указан",США,1951,ID 0043643
Женщина для всех,мелодрама,Анатолий Матешко,СССР,1991,ID 0204754
Женщина дела,"драматический фильм, немое кино, романтический фильм",Кларенс Браун,США,1928,ID 0019591
Женщина года,"комедия, comedy of remarriage",Джордж Стивенс,США,1942,ID 0035567
Женщина в чёрном 2: Ангел смерти,"ужасы, мистика, драма",Том Харпер,"США, Великобритания, Канада",2014,ID 2339741
"Женщина в чёрном (фильм, 2012)","готика, нуар, триллер, фильм ужасов, драма, мистика",Джеймс Уоткинс,"Великобритания, Канада",2012,ID 1596365
"Женщина в чёрном (фильм, 1989)","фильм ужасов, мистика",Герберт Уайз,Великобритания,"24 декабря, 1989",ID 0098672
Женщина в пламени,драматический фильм,Роберт ван Акерен,ФРГ,1983,ID 0083949
Женщина в песках (фильм),драма,Хироси Тэсигахара,Япония,1964,ID 0058625
"Женщина в окне (фильм, 2021)","триллер, драма, детектив",Джо Райт,США,"14 мая, 2021",ID 6111574
"Женщина в окне (фильм, 1944)","нуар, триллер, детектив",Фриц Ланг,США,1944,ID 0037469
Женщина в красном,"комедия, мелодрама",Джин Уайлдер,США,1984,ID 0088414
Женщина в комнате 13,"немое кино, драматический фильм, фильм-тайна",Фрэнк Ллойд,США,"апрель, 1920",ID 0011876
Женщина в комнате,"драма, триллер",Фрэнк Дарабонт,США,1983,ID 0086534
Женщина в камере № 9,women in prison,Хесус Франко,Швейцария,1977,ID 0123847
Женщина в золоте,драма,Саймон Кертис,"Германия, Великобритания, США, Австрия",2015,ID 2404425
Женщина в зеркале,мелодрама,Паоло Кваренья,Италия,1984,ID 0087165
Женщина в зелёном,детектив,Рой Уильям Нейл,США,1945,ID 0038259
Женщина в дельфине,"приключения, фантастика, немое кино",Артур Кикебуш-Бренкен,Германия,1920,ID 0011208
"Женщина в белом (фильм, 1981)",экранизация романа,Вадим Дербенёв,СССР,1981,ID 0161117
Женщина в бегах (фильм Нормана Фостера),"фильм нуар, триллер",Норман Фостер,США,1950,ID 0043142
Женщина в бегах (фильм Майкла Гордона),"фильм нуар, триллер",Майкл Гордон,США,"1949, 6 января, 1950, 12 января, 1950, 24 февраля, 1950",ID 0042052
Женщина без мужчин,фильм нуар,Франклин Адреон,США,1955,ID 0048426
Женщина без головы,"фильм-триллер, драматический фильм",Лукресия Мартель,"Франция, Аргентина, Италия",2008,ID 1221141
Женщина + женщина,мелодрама,Джордж Слузер,Нидерланды,1979,ID 0080051
"Женщина (фильм, 2011)","фильм ужасов, драма, триллер, артхаус",Лаки Макки,США,2011,ID 1714208
"Женщина (фильм, 1932)",драма,"Ефим Дзиган, Борис Шрейбер",СССР,1932,ID 0164973
"Женщина (фильм, 1915)",комедия,Чарли Чаплин,США,1915,ID 0006309
Женщина — это будущее мужчины,"драма, комедия",Хон Сан Су,Республика Корея,2004,ID 0403692
"Затравленная (фильм, 2007)","драма, музыкальный фильм",Дебора Кампмейер,США,2007,ID 0415856
Женщина — женщине,мелодрама,Грэм Кате,Великобритания,1923,ID 0015508
"Заточка (фильм, 2009)",драма,Саймон Пирс,Великобритания,2009,ID 1288571
Затойчи,"боевик, драма, пародия",Такэси Китано,Япония,"2 сентября, 2003, 24 июня, 2004, 6 сентября, 2003, 4 июня, 2004, 2003",ID 0363226
"Затмение (фильм, 2015)",триллер,Алехандро Аменабар,"Испания, Канада, США",2015,ID 3319920
"Затмение (фильм, 1962)",драма,Микеланджело Антониони,"Италия, Франция",1962,ID 0056736
"Затмение (фильм, 2017)","фэнтези, приключения",Иван Кордзаия,Россия,2017,ID 5178170
Затишье (фильм),драма,Виталий Четвериков,СССР,1981,ID 5244984
"Затерянный мир (фильм, 2001)",фантастика приключения,Стюарт Орм,Великобритания,"25 декабря, 2001",ID 0302739
"Затерянный мир (фильм, 2009)","приключения, комедия",Брэд Силберлинг,США,2009,ID 0457400
"Затерянный мир (фильм, 1998)","фантастика, приключения",Боб Кин,США,1998,ID 0138581
"Затерянный мир (фильм, 1992)","приключенческий фильм, фэнтези, фантастика",Тимоти Бонд,"Канада, США",1992,ID 0104759
"Затерянный мир (фильм, 1960)",фантастика,Ирвин Аллен,США,1960,ID 0054038
Затерянный лагерь,комедия,"Джонатан Принс, ru, en",США,1994,ID 0109369
"Затерянный мир (фильм, 1925)","фантастика, приключения, фильм-катастрофа",Гарри О. Хойт,США,1925,ID 0016039
Затерянный город Z,"приключения, история, драма, боевик",Джеймс Грэй,США,2016,ID 1212428
"Затерянный город (фильм, 2022)","приключения, экшн, комедия","Аарон Ни, Адам Ни, ru, en",США,2022,ID 13320622
Затерянный в Сибири,драма,Александр Митта,"СССР, Великобритания",1991,ID 0103322
Затерянные в Африке,"приключенческий фильм, боевик",Стюарт Рэффилл,"США, Великобритания",1994,ID 0110386
Затерянные в космосе (фильм),"научная фантастика, приключения",Стивен Хопкинс,США,1998,ID 0120738
Затерянные во льдах,"приключения, драма",Джо Пенна,Исландия,2018,ID 6820256
Затерянные в Рио Браво,вестерн,Джо Корнет,США,,ID 20202928
"Затемнение (фильм, 1985)","детектив, драма, фильм ужасов",Дуглас Хикокс,США,"28 июля, 1985",ID 0088816
"Затемнение (фильм, 1980)","триллер, драма, слэшер",Вернон Зиммерман,США,1980,ID 0080711
Затворники Альтоны,драма,Витторио Де Сика,"Франция, Италия",1962,ID 0056468
Затворник (фильм),"триллер, мелодрама, детектив",Егор Кончаловский,Россия,1999,ID 0261449
Затаившийся,"фильм ужасов, триллер",Дэвид Шмёллер,"США, Италия",1986,ID 0090881
Затаившиеся 3D,"фильм ужасов, триллер",Антуан Томас,"Канада, Италия",2011,ID 1664664
Затаившись,"фильм ужасов, драматический фильм","Мэтт Даффер, Росс Даффер",США,"15 сентября, 2015",ID 2131532
"Засыпай, мой малыш",музыкальная комедия,Фрэнк Ташлин,США,1958,ID 0052141
Затащи меня в ад,"фильм ужасов, мистический фильм, триллер, чёрная комедия",Сэм Рэйми,США,2009,ID 1127180
Засушливое лето,драма,Метин Эрксан,Турция,1963,ID 0062322
Заступник,"триллер, боевик",Роберт Лоренц,США,2021,ID 6902332
Застрял в тебе,комедия,"Питер Фаррелли, Бобби Фаррелли",США,2003,ID 0338466
Застрял в любви,"комедия, драма",Джош Бун,США,2012,ID 2205697
Застигнутый дождём,комедия,Чарли Чаплин,США,1914,ID 0003760
Застенчивый,"романтическая комедия, романтический фильм, немое кино","Фред С. Ньюмейер, Сэм Тейлор",США,"20 апреля, 1924",ID 0014945
Застава в Марокко,приключения боевик,Роберт Флори,США,1949,ID 0041724
Застава Ильича,киноповесть,Марлен Хуциев,СССР,1964,ID 0058361
Застава в горах,приключенческий фильм,Константин Юдин,СССР,1953,ID 0212630
Засранка,комедия,Андрей Хуцуляк,Румыния,2021,ID 14403262
"Засну, когда умру","криминальный фильм, драма, триллер",Майк Ходжес,"Великобритания, США",2003,ID 0319531
Засекреченный город,"детский фильм, приключенческий фильм",Михаил Юзовский,СССР,1974,ID 1934489
Заселяя замки Венарии-Реале,драма,Питер Гринуэй,Италия,2007,ID 1242785
"Засада (фильм, 1973)","боевик, приключенческий фильм",Хэ Мэнхуа,Гонконг,1973,ID 0069702
"Засада (фильм, 2007)","детектив, драма, триллер",Стюарт Гордон,"Канада, США, Великобритания",2007,ID 0758786
"Засада (фильм, 1969, СССР)",о гражданской войне,Геннадий Базаров,СССР,1969,ID 5277040
"Засада (фильм, 1958)",криминальная драма,Ёситаро Номура,Япония,1958,ID 0226737
Заряженные смертью,боевик,Владимир Плотников,СССР,1991,ID 0103321
Заряженное оружие,"комедия, боевик, криминал, пародия",Джин Квинтано,США,"5 февраля, 1993, 27 июня, 1993, 15 июля, 1993",ID 0107659
Зарэ,драма,"Амо Бек-Назарян, Арменак Даниелян",СССР,1926,ID 0184075
Заря (фильм),драма,Роберт Найтс,Великобритания,1988,ID 0094955
Зарубежный роман,"романтическая, комедия, драма",Билли Уайлдер,США,1948,ID 0040367
Зародыш (фильм),"фантастика, ужасы, триллер",Ральф Нельсон,США,1976,ID 0074475
Зарисовки об одеждах и городах,документальный,Вим Вендерс,"ФРГ, Франция",1989,ID 0096852
Зареченские женихи,"комедия, мелодрама",Леонид Миллионщиков,СССР,1967,ID 8203056
Зарево над Кладно,исторический экранизация,Владимир Влчек,Чехословакия,1955,ID 0400782
Зарево над Дравой,"киноэпопея, военный",Зако Хеския,Болгария,1974,ID 0293718
Заре навстречу (фильм),драма экранизация историко-революционный,Татьяна Лукашевич,СССР,1959,ID 0323891
Зардоз,"фантастика, фэнтези, антиутопия",Джон Бурмен,"Ирландия, США",1974,ID 0070948
Заражение: Вирус смерти,зомби-комедия,Патрик Динхат,США,2006,ID 0770739
"Заражение (фильм, 2011)",фильм-катастрофа,Стивен Содерберг,США,2011,ID 1598778
Заражённая,"постапокалипсис, фильм ужасов, драма",Генри Хобсон,США,2015,ID 1881002
"Заражение (фильм, 1980)","фантастика, фильм ужасов",Луиджи Коцци,"Италия, ФРГ",1980,ID 0082000
Зарабатывая на жизнь,комедия,Генри Лерман,США,1914,ID 0004288
Запятнанные ангелы,мелодрама,Дуглас Сирк,США,1957,ID 0051055
Запятнанная репутация,"триллер, мелодрама, драма",Роберт Бентон,США,2003,ID 0308383
Запыхавшись,"детектив, мелодрама, джалло",Тинто Брасс,"Италия, Франция",1967,ID 0061493
Запутанная история,чёрная комедия,"Сальво Фикарра, Валентино Пиконе, Джиамбаттисто Авеллино",Италия,2009,ID 1409836
Запутались в любви (фильм),"мелодрама, комедия",Леандер Хауссман,Германия,2008,ID 1242452
"Запрягу я тройку борзых, темнокарих лошадей","бытовая, драма",Яков Протазанов,Российская империя,1916,
Запрос в друзья,фильм ужасов,Симон Ферхёвен,Германия,2016,ID 3352390
"Запрещено (фильм, 1953)",нуар,Рудольф Мате,США,1953,ID 0045780
Запрещённый Христос,драма,Курцио Малапарте,Италия,1951,ID 0042354
"Запрещённый приём (фильм, 2011)","триллер, боевик, фэнтези",Зак Снайдер,США,2011,ID 0978764
Запрещённые священники,"драма, мелодрама, военный фильм",Дени де Ла Пательер,Франция,1973,ID 0174143
Запрещённые песенки,"военный, музыкальный",Леонард Бучковский,Польша,1946,ID 0040012
Запрещённые игры,драма,Рене Клеман,Франция,1952,ID 0043686
Запретный танец,музыкальный фильм,Грейдон Кларк,США,1990,ID 0099595
Запретный мир,фантастика,Аллан Хольцман,США,1982,ID 0083959
Запретные желания,"боевик, мелодрама, комедия",В. В. Винаяк,Индия,2011,ID 1625856
Запретное царство,"уся, боевик, комедия, приключения",Роб Минкофф,"США, Китай",2008,ID 0865556
Запретное образование,документальный фильм,German Doin,Аргентина,2012,ID 2351524
Запретная территория,комедия,Давид Внендт,Германия,2013,ID 2524674
Запретная тема,боевик,Джей Ли Томпсон,США,1989,ID 0097670
Запрещённая реальность (фильм),"боевик, фантастика",Константин Максимов,Россия,2009,ID 1245736
Запретная страсть,драма,Катрин Брейя,Франция,2023,ID 14550346
Запретная планета,научная фантастика,Фред Маклауд Уилкокс,США,1956,ID 0049223
Запретная миссия,"боевик, кинокомедия, криминал, приключения, семейный, .",Барт Фрейндлих,США,2004,ID 0337917
"Запретная любовь (фильм, 2008)","драма, биографический",Джон Мэйбери,Великобритания,2008,ID 0819714
Запретная любовь: Бесстыдные истории из жизни лесбиянок,документальный фильм,"Линн Ферни, Айрлин Вайсман",Канада,1992,ID 0106944
"Адвокат (фильм, 2013)",драма,"Ян Усок, англ., рус.",Республика Корея,2013,ID 3404140
"Адвокат (фильм, 1990)","драма, детектив",Искандер Хамраев,СССР,1990,ID 0100831
"Адвокат (фильм, 1933)",драма,Уильям Уайлер,США,1933,ID 0023911
Адаптация (фильм),трагикомедия,Спайк Джонз,США,2002,ID 0268126
Адамовы яблоки,"комедия, драма, криминальный фильм",Андерс Томас Йенсен,"Дания, Германия",2005,ID 0418455
Адам хочет быть человеком (фильм),драма,Витаутас Жалакявичюс,СССР,1959,ID 0297704
Адам и Стив,комедия,Крэйг Честер,США,2005,ID 0372122
Адам и Хева,комедия,Алексей Коренев,СССР,1969,ID 0149586
Адам женится на Еве,"комедийная, драма",Виктор Абросимович Титов,СССР,1980,ID 0080332
Адам (фильм),"драма, мелодрама",Макс Майер,США,2009,ID 1185836
Ада! Это же неудобно!,комедийный фильм,Конрад Том,Польша,1936,ID 0027257
"Ад, или Досье на самого себя",драма,Геннадий Беглов,СССР,1989,ID 0149585
Ад Танжера,драма,Франк Ван Мехелен,Бельгия,2006,ID 0473492
Ад по соседству,"драматический фильм, фильм ужасов, фильм-триллер",Дэвид Мармор,США,2019,ID 7541106
Адажио (фильм),polar,Стефано Соллима,Италия,2023,ID 22001304
